long,lat,vms-intens
-89.5,59.5,NA
-88.5,59.5,NA
-87.5,59.5,NA
-86.5,59.5,NA
-85.5,59.5,NA
-84.5,59.5,NA
-83.5,59.5,NA
-82.5,59.5,NA
-81.5,59.5,NA
-80.5,59.5,NA
-79.5,59.5,NA
-78.5,59.5,NA
-77.5,59.5,NA
-76.5,59.5,NA
-75.5,59.5,NA
-74.5,59.5,NA
-73.5,59.5,NA
-72.5,59.5,NA
-71.5,59.5,NA
-70.5,59.5,NA
-69.5,59.5,NA
-68.5,59.5,NA
-67.5,59.5,NA
-66.5,59.5,NA
-65.5,59.5,NA
-64.5,59.5,NA
-63.5,59.5,NA
-62.5,59.5,NA
-61.5,59.5,NA
-60.5,59.5,NA
-59.5,59.5,NA
-58.5,59.5,NA
-57.5,59.5,NA
-56.5,59.5,NA
-55.5,59.5,NA
-54.5,59.5,NA
-53.5,59.5,NA
-52.5,59.5,NA
-51.5,59.5,NA
-50.5,59.5,NA
-49.5,59.5,NA
-48.5,59.5,NA
-47.5,59.5,NA
-46.5,59.5,NA
-45.5,59.5,NA
-44.5,59.5,NA
-43.5,59.5,NA
-42.5,59.5,NA
-41.5,59.5,NA
-40.5,59.5,NA
-39.5,59.5,NA
-38.5,59.5,NA
-37.5,59.5,NA
-36.5,59.5,NA
-35.5,59.5,NA
-34.5,59.5,NA
-33.5,59.5,NA
-32.5,59.5,NA
-31.5,59.5,NA
-30.5,59.5,NA
-29.5,59.5,NA
-28.5,59.5,NA
-27.5,59.5,NA
-26.5,59.5,NA
-25.5,59.5,NA
-24.5,59.5,NA
-23.5,59.5,NA
-22.5,59.5,NA
-21.5,59.5,NA
-20.5,59.5,NA
-19.5,59.5,NA
-18.5,59.5,NA
-17.5,59.5,NA
-16.5,59.5,NA
-15.5,59.5,NA
-14.5,59.5,NA
-13.5,59.5,NA
-12.5,59.5,NA
-11.5,59.5,NA
-10.5,59.5,NA
-9.5,59.5,NA
-8.5,59.5,NA
-7.5,59.5,NA
-6.5,59.5,NA
-5.5,59.5,NA
-4.5,59.5,NA
-3.5,59.5,NA
-2.5,59.5,NA
-1.5,59.5,NA
-0.5,59.5,NA
-89.5,58.5,NA
-88.5,58.5,NA
-87.5,58.5,NA
-86.5,58.5,NA
-85.5,58.5,NA
-84.5,58.5,NA
-83.5,58.5,NA
-82.5,58.5,NA
-81.5,58.5,NA
-80.5,58.5,NA
-79.5,58.5,NA
-78.5,58.5,NA
-77.5,58.5,NA
-76.5,58.5,NA
-75.5,58.5,NA
-74.5,58.5,NA
-73.5,58.5,NA
-72.5,58.5,NA
-71.5,58.5,NA
-70.5,58.5,NA
-69.5,58.5,NA
-68.5,58.5,NA
-67.5,58.5,NA
-66.5,58.5,NA
-65.5,58.5,NA
-64.5,58.5,NA
-63.5,58.5,NA
-62.5,58.5,NA
-61.5,58.5,NA
-60.5,58.5,NA
-59.5,58.5,NA
-58.5,58.5,NA
-57.5,58.5,NA
-56.5,58.5,NA
-55.5,58.5,NA
-54.5,58.5,NA
-53.5,58.5,NA
-52.5,58.5,NA
-51.5,58.5,NA
-50.5,58.5,NA
-49.5,58.5,NA
-48.5,58.5,NA
-47.5,58.5,NA
-46.5,58.5,NA
-45.5,58.5,NA
-44.5,58.5,NA
-43.5,58.5,NA
-42.5,58.5,NA
-41.5,58.5,NA
-40.5,58.5,NA
-39.5,58.5,NA
-38.5,58.5,NA
