long,lat,cpue
-46.5,35.5,2792.86
-45.5,35.5,2752.02
-44.5,35.5,2410.18
-43.5,35.5,3095.51
-42.5,35.5,2321.07
-41.5,35.5,2542.09
-40.5,35.5,2669.31
-39.5,35.5,2856.56
-38.5,35.5,2414.54
-37.5,35.5,2244.73
-36.5,35.5,2157.20
-35.5,35.5,2233.49
-34.5,35.5,2877.96
-33.5,35.5,2380.35
-32.5,35.5,2436.14
-31.5,35.5,3007.29
-30.5,35.5,2266.12
-29.5,35.5,2219.96
-28.5,35.5,2142.44
-27.5,35.5,2633.21
-26.5,35.5,3338.67
-25.5,35.5,2190.33
-24.5,35.5,4216.25
-23.5,35.5,2458.20
-22.5,35.5,2334.60
-21.5,35.5,1458.90
-20.5,35.5,1758.70
-19.5,35.5,1647.56
-18.5,35.5,1927.73
-17.5,35.5,1076.70
-16.5,35.5,560.94
-15.5,35.5,176.45
-14.5,35.5,192.99
-13.5,35.5,240.00
-12.5,35.5,356.92
-11.5,35.5,146.90
-10.5,35.5,84.14
-9.5,35.5,88.21
-8.5,35.5,101.08
-7.5,35.5,81.83
-6.5,35.5,52.70
-5.5,35.5,NA
-4.5,35.5,NA
-3.5,35.5,NA
-2.5,35.5,NA
-1.5,35.5,NA
-0.5,35.5,NA
-46.5,34.5,2254.28
-45.5,34.5,2327.28
-44.5,34.5,2101.34
-43.5,34.5,2247.14
-42.5,34.5,2464.84
-41.5,34.5,2483.32
-40.5,34.5,2366.56
-39.5,34.5,2532.61
-38.5,34.5,2523.25
-37.5,34.5,2332.33
-36.5,34.5,2361.44
-35.5,34.5,2386.19
-34.5,34.5,2616.49
-33.5,34.5,2367.74
-32.5,34.5,2737.94
-31.5,34.5,2681.35
-30.5,34.5,3273.13
-29.5,34.5,2992.70
-28.5,34.5,2779.23
-27.5,34.5,2509.68
-26.5,34.5,2468.47
-25.5,34.5,2494.33
-24.5,34.5,2683.92
-23.5,34.5,2436.86
-22.5,34.5,2631.79
-21.5,34.5,1748.27
-20.5,34.5,12962.77
-19.5,34.5,1784.10
-18.5,34.5,2594.69
-17.5,34.5,665.00
-16.5,34.5,70.00
-15.5,34.5,137.50
-14.5,34.5,124.83
-13.5,34.5,100.00
-12.5,34.5,65.00
-11.5,34.5,80.00
-10.5,34.5,75.00
-9.5,34.5,NA
-8.5,34.5,NA
-7.5,34.5,NA
-6.5,34.5,NA
-5.5,34.5,NA
-4.5,34.5,NA
-3.5,34.5,NA
-2.5,34.5,NA
-1.5,34.5,NA
-0.5,34.5,NA
-46.5,33.5,2215.03
-45.5,33.5,1709.90
-44.5,33.5,2346.41
-43.5,33.5,2199.02
-42.5,33.5,2354.23
-41.5,33.5,2549.95
-40.5,33.5,2864.10
-39.5,33.5,2478.81
-38.5,33.5,2176.32
