id,date,area,tag-type,max-depth,tad250,tad500
S1,2009-02-26,Normoxia,ARGOS,NA,NA,NA
S1,2009-02-26,Normoxia,PSAT,NA,NA,NA
S1,2009-02-27,Normoxia,ARGOS,NA,NA,NA
S1,2009-02-27,Normoxia,PSAT,NA,NA,NA
S1,2009-02-28,Normoxia,ARGOS,NA,NA,NA
S1,2009-02-28,Normoxia,PSAT,352.00,0.44,1.00
S1,2009-03-01,Normoxia,ARGOS,NA,NA,NA
S1,2009-03-01,Normoxia,PSAT,360.00,0.61,1.00
S1,2009-03-02,Normoxia,ARGOS,NA,NA,NA
S1,2009-03-02,Normoxia,PSAT,48.00,0.55,1.00
S1,2009-03-03,Normoxia,ARGOS,NA,NA,NA
S1,2009-03-03,Normoxia,PSAT,NA,NA,NA
S1,2009-03-04,Normoxia,ARGOS,NA,NA,NA
S1,2009-03-04,Normoxia,PSAT,264.00,0.81,1.00
S1,2009-03-05,Normoxia,ARGOS,NA,NA,NA
S1,2009-03-05,Normoxia,PSAT,120.00,1.00,1.00
S1,2009-03-06,Normoxia,ARGOS,NA,NA,NA
S1,2009-03-06,Normoxia,PSAT,24.00,1.00,1.00
S1,2009-03-07,Normoxia,ARGOS,NA,NA,NA
S1,2009-03-07,Normoxia,PSAT,448.00,0.68,1.00
S1,2009-03-08,Normoxia,ARGOS,NA,NA,NA
S1,2009-03-08,Normoxia,PSAT,NA,NA,NA
S1,2009-03-09,Normoxia,ARGOS,NA,NA,NA
S1,2009-03-09,Normoxia,PSAT,360.00,0.90,1.00
S1,2009-03-10,Normoxia,ARGOS,NA,NA,NA
S1,2009-03-10,Normoxia,PSAT,432.00,0.90,1.00
S1,2009-03-11,Normoxia,ARGOS,NA,NA,NA
S1,2009-03-11,Normoxia,PSAT,NA,NA,NA
S1,2009-03-12,Normoxia,ARGOS,NA,NA,NA
S1,2009-03-12,Normoxia,PSAT,248.00,0.91,1.00
S1,2009-03-13,Normoxia,ARGOS,NA,NA,NA
S1,2009-03-13,Normoxia,PSAT,288.00,0.91,1.00
S1,2009-03-14,Normoxia,ARGOS,NA,NA,NA
S1,2009-03-14,Normoxia,PSAT,256.00,0.96,1.00
S1,2009-03-15,Normoxia,ARGOS,NA,NA,NA
S1,2009-03-15,Normoxia,PSAT,NA,1.00,1.00
S1,2009-03-16,Normoxia,ARGOS,NA,NA,NA
S1,2009-03-16,Normoxia,PSAT,272.00,0.87,1.00
S1,2009-03-17,Normoxia,ARGOS,NA,NA,NA
S1,2009-03-17,Normoxia,PSAT,176.00,0.98,1.00
S1,2009-03-18,Normoxia,ARGOS,NA,NA,NA
S1,2009-03-18,Normoxia,PSAT,120.00,1.00,1.00
S1,2009-03-19,Normoxia,ARGOS,NA,NA,NA
S1,2009-03-19,Normoxia,PSAT,NA,0.80,1.00
S1,2009-03-20,Normoxia,ARGOS,NA,NA,NA
S1,2009-03-20,Normoxia,PSAT,272.00,0.81,1.00
S1,2009-03-21,Normoxia,ARGOS,NA,NA,NA
S1,2009-03-21,Normoxia,PSAT,320.00,0.80,1.00
S1,2009-03-22,Normoxia,ARGOS,NA,NA,NA
S1,2009-03-22,Normoxia,PSAT,304.00,0.68,1.00
S1,2009-03-23,Normoxia,ARGOS,NA,NA,NA
S1,2009-03-23,Normoxia,PSAT,96.00,0.89,1.00
S1,2009-03-24,Normoxia,ARGOS,NA,NA,NA
S1,2009-03-24,Normoxia,PSAT,304.00,0.64,1.00
S1,2009-03-25,Normoxia,ARGOS,NA,NA,NA
S1,2009-03-25,Normoxia,PSAT,304.00,0.70,1.00
S1,2009-03-26,Normoxia,ARGOS,NA,NA,NA
S1,2009-03-26,Normoxia,PSAT,NA,1.00,1.00
S1,2009-03-27,Normoxia,ARGOS,NA,NA,NA
S1,2009-03-27,Normoxia,PSAT,NA,NA,NA
S1,2009-03-28,Normoxia,ARGOS,NA,NA,NA
S1,2009-03-28,Normoxia,PSAT,264.00,0.91,1.00
S1,2009-03-29,Normoxia,ARGOS,NA,NA,NA
S1,2009-03-29,Normoxia,PSAT,296.00,1.00,1.00
S1,2009-03-30,Normoxia,ARGOS,NA,NA,NA
S1,2009-03-30,Normoxia,PSAT,264.00,0.98,1.00
S1,2009-03-31,Normoxia,ARGOS,NA,NA,NA
S1,2009-03-31,Normoxia,PSAT,400.00,0.86,1.00
S1,2009-04-01,Normoxia,ARGOS,NA,NA,NA
S1,2009-04-01,Normoxia,PSAT,88.00,0.73,0.98
S1,2009-04-02,Normoxia,ARGOS,NA,NA,NA
S1,2009-04-02,Normoxia,PSAT,160.00,0.82,1.00
S1,2009-04-03,Normoxia,ARGOS,NA,NA,NA
S1,2009-04-03,Normoxia,PSAT,400.00,0.66,1.00
S1,2009-04-04,Normoxia,ARGOS,NA,NA,NA
S1,2009-04-04,Normoxia,PSAT,504.00,0.68,0.99
S1,2009-04-05,Normoxia,ARGOS,NA,NA,NA
S1,2009-04-05,Normoxia,PSAT,NA,NA,NA
S1,2009-04-06,Normoxia,ARGOS,NA,NA,NA
S1,2009-04-06,Normoxia,PSAT,480.00,1.00,1.00
S1,2009-04-07,Normoxia,ARGOS,NA,NA,NA
S1,2009-04-07,Normoxia,PSAT,136.00,0.74,0.94
S1,2009-04-08,Normoxia,ARGOS,NA,NA,NA
S1,2009-04-08,Normoxia,PSAT,NA,NA,NA
S1,2009-04-09,Normoxia,ARGOS,NA,NA,NA
S1,2009-04-09,Normoxia,PSAT,392.00,0.50,1.00
S1,2009-04-10,Normoxia,ARGOS,NA,NA,NA
S1,2009-04-10,Normoxia,PSAT,32.00,0.70,1.00
S1,2009-04-11,Normoxia,ARGOS,NA,NA,NA
S1,2009-04-11,Normoxia,PSAT,NA,1.00,1.00
S1,2009-04-12,Normoxia,ARGOS,NA,NA,NA
S1,2009-04-12,Normoxia,PSAT,496.00,0.31,1.00
S1,2009-04-13,Normoxia,ARGOS,NA,NA,NA
S1,2009-04-13,Normoxia,PSAT,448.00,0.12,1.00
S1,2009-04-14,Normoxia,ARGOS,NA,NA,NA
S1,2009-04-14,Normoxia,PSAT,400.00,1.00,1.00
S1,2009-04-15,Normoxia,ARGOS,NA,NA,NA
S1,2009-04-15,Normoxia,PSAT,368.00,0.84,1.00
S1,2009-04-16,Normoxia,ARGOS,NA,NA,NA
S1,2009-04-16,Normoxia,PSAT,440.00,0.99,1.00
S1,2009-04-17,Normoxia,ARGOS,NA,NA,NA
S1,2009-04-17,Normoxia,PSAT,NA,NA,NA
S1,2009-04-18,Normoxia,ARGOS,NA,NA,NA
S1,2009-04-18,Normoxia,PSAT,616.00,0.41,0.85
S1,2009-04-19,Normoxia,ARGOS,NA,NA,NA
S1,2009-04-19,Normoxia,PSAT,552.00,0.78,0.87
S1,2009-04-20,Normoxia,ARGOS,NA,NA,NA
S1,2009-04-20,Normoxia,PSAT,584.00,0.41,0.83
S1,2009-04-21,Normoxia,ARGOS,NA,NA,NA
S1,2009-04-21,Normoxia,PSAT,576.00,0.40,0.56
S1,2009-04-22,Normoxia,ARGOS,NA,NA,NA
S1,2009-04-22,Normoxia,PSAT,48.00,1.00,1.00
S1,2009-04-23,Normoxia,ARGOS,NA,NA,NA
S1,2009-04-23,Normoxia,PSAT,608.00,0.30,0.34
S1,2009-04-24,Normoxia,ARGOS,NA,NA,NA
S1,2009-04-24,Normoxia,PSAT,656.00,0.70,0.76
S1,2009-04-25,Normoxia,ARGOS,NA,NA,NA
S1,2009-04-25,Normoxia,PSAT,680.00,0.45,0.57
S1,2009-04-26,Normoxia,ARGOS,NA,NA,NA
S1,2009-04-26,Normoxia,PSAT,NA,NA,NA
S1,2009-04-27,Normoxia,ARGOS,NA,NA,NA
S1,2009-04-27,Normoxia,PSAT,608.00,0.35,0.43
S1,2009-04-28,Normoxia,ARGOS,NA,NA,NA
S1,2009-04-28,Normoxia,PSAT,696.00,0.33,0.43
S1,2009-04-29,Normoxia,ARGOS,NA,NA,NA
S1,2009-04-29,Normoxia,PSAT,NA,0.09,0.28
S1,2009-04-30,Normoxia,ARGOS,NA,NA,NA
S1,2009-04-30,Normoxia,PSAT,552.00,0.06,0.39
S1,2009-05-01,Normoxia,ARGOS,NA,NA,NA
S1,2009-05-01,Normoxia,PSAT,464.00,0.52,0.80
S1,2009-05-02,Normoxia,ARGOS,NA,NA,NA
S1,2009-05-02,Normoxia,PSAT,112.00,1.00,1.00
S1,2009-05-03,Normoxia,ARGOS,NA,NA,NA
S1,2009-05-03,Normoxia,PSAT,NA,NA,NA
S1,2009-05-04,Normoxia,ARGOS,NA,NA,NA
S1,2009-05-04,Normoxia,PSAT,424.00,NA,NA
S1,2009-05-05,Normoxia,ARGOS,NA,NA,NA
S1,2009-05-05,Normoxia,PSAT,568.00,0.81,1.00
S1,2009-05-06,Normoxia,ARGOS,NA,NA,NA
S1,2009-05-06,Normoxia,PSAT,496.00,0.36,0.64
S1,2009-05-07,Normoxia,ARGOS,NA,NA,NA
S1,2009-05-07,Transition,PSAT,536.00,0.56,0.66
S1,2009-05-08,Normoxia,ARGOS,NA,NA,NA
S1,2009-05-08,Transition,PSAT,552.00,0.13,0.61
S1,2009-05-09,OMZ,ARGOS,NA,NA,NA
S1,2009-05-09,OMZ,PSAT,608.00,0.88,0.96
S1,2009-05-10,OMZ,ARGOS,NA,NA,NA
S1,2009-05-10,OMZ,PSAT,448.00,0.67,1.00
S1,2009-05-11,OMZ,ARGOS,NA,NA,NA
S1,2009-05-11,OMZ,PSAT,328.00,0.95,1.00
S1,2009-05-12,OMZ,ARGOS,NA,NA,NA
S1,2009-05-12,OMZ,PSAT,496.00,0.29,1.00
S1,2009-05-13,OMZ,ARGOS,NA,NA,NA
S1,2009-05-13,OMZ,PSAT,456.00,0.86,1.00
S1,2009-05-14,OMZ,ARGOS,NA,NA,NA
S1,2009-05-14,OMZ,PSAT,392.00,1.00,1.00
S1,2009-05-15,OMZ,ARGOS,NA,NA,NA
S1,2009-05-15,OMZ,PSAT,448.00,0.75,1.00
S1,2009-05-16,OMZ,ARGOS,NA,NA,NA
S1,2009-05-16,OMZ,PSAT,392.00,1.00,1.00
S1,2009-05-17,OMZ,ARGOS,NA,NA,NA
S1,2009-05-17,OMZ,PSAT,416.00,0.61,1.00
S1,2009-05-18,OMZ,ARGOS,NA,NA,NA
S1,2009-05-18,OMZ,PSAT,448.00,0.41,1.00
S1,2009-05-19,OMZ,ARGOS,NA,NA,NA
S1,2009-05-19,OMZ,PSAT,176.00,1.00,1.00
S1,2009-05-20,OMZ,ARGOS,NA,NA,NA
S1,2009-05-20,OMZ,PSAT,NA,1.00,1.00
S1,2009-05-21,OMZ,ARGOS,NA,NA,NA
S1,2009-05-21,OMZ,PSAT,680.00,0.39,0.99
S1,2009-05-22,OMZ,ARGOS,NA,NA,NA
S1,2009-05-22,OMZ,PSAT,NA,NA,NA
S1,2009-05-23,OMZ,ARGOS,NA,NA,NA
S1,2009-05-23,OMZ,PSAT,120.00,1.00,1.00
S1,2009-05-24,OMZ,ARGOS,NA,NA,NA
S1,2009-05-24,OMZ,PSAT,384.00,0.57,1.00
S1,2009-05-25,OMZ,ARGOS,NA,NA,NA
